project,required,dep
aiohttp,False,aiodns
aiohttp,False,brotlipy
aiohttp,False,cchardet
scikit-learn,True,numpy
scikit-learn,True,scipy
scikit-learn,True,joblib
scikit-learn,True,threadpoolctl
scikit-learn,False,matplotlib
scikit-learn,False,pandas
scikit-learn,False,memory-profiler
scikit-learn,False,scikit-image
scikit-learn,False,seaborn
scikit-learn,False,sphinx
scikit-learn,False,sphinx-gallery
scikit-learn,False,numpydoc
scikit-learn,False,Pillow
scikit-learn,False,sphinx-prompt
scikit-learn,False,pytest
scikit-learn,False,pytest-cov
scikit-learn,False,flake8
scikit-learn,False,mypy
scikit-learn,False,pyamg
tqdm,False,py-make
tqdm,False,twine
tqdm,False,wheel
tqdm,False,ipywidgets
tqdm,False,requests
coverage,False,toml
entrypoints,True,configparser
prompt-toolkit,True,wcwidth
bleach,True,packaging
bleach,True,six
bleach,True,webencodings
ipython,True,setuptools
ipython,True,jedi
ipython,True,decorator
ipython,True,pickleshare
ipython,True,traitlets
ipython,True,prompt-toolkit
ipython,True,pygments
ipython,True,backcall
ipython,True,matplotlib-inline
ipython,True,pexpect
ipython,True,appnope
ipython,True,colorama
ipython,False,Sphinx
ipython,False,ipykernel
ipython,False,ipyparallel
ipython,False,ipywidgets
ipython,False,nbconvert
ipython,False,nbformat
ipython,False,nose
ipython,False,notebook
ipython,False,numpy
ipython,False,pygments
ipython,False,qtconsole
ipython,False,requests
ipython,False,testpath
httplib2,True,pyparsing
traitlets,True,ipython-genutils
traitlets,False,pytest
redis,False,hiredis
absl-py,True,six
absl-py,True,enum34
pickleshare,True,pathlib2
azure-core,True,requests
azure-core,True,six
azure-core,True,azure-nspkg
azure-core,True,enum34
azure-core,True,typing
virtualenv,True,appdirs
virtualenv,True,distlib
virtualenv,True,filelock
virtualenv,True,six
virtualenv,True,pathlib2
virtualenv,True,importlib-resources
virtualenv,True,importlib-metadata
virtualenv,False,proselint
virtualenv,False,sphinx
virtualenv,False,sphinx-argparse
virtualenv,False,sphinx-rtd-theme
virtualenv,False,towncrier
virtualenv,False,coverage
virtualenv,False,coverage-enable-subprocess
virtualenv,False,flaky
virtualenv,False,pytest
virtualenv,False,pytest-env
virtualenv,False,pytest-freezegun
virtualenv,False,pytest-mock
virtualenv,False,pytest-randomly
virtualenv,False,pytest-timeout
virtualenv,False,packaging
virtualenv,False,xonsh
beautifulsoup4,True,soupsieve
beautifulsoup4,False,html5lib
beautifulsoup4,False,lxml
tensorflow,True,numpy
tensorflow,True,absl-py
tensorflow,True,astunparse
tensorflow,True,flatbuffers
tensorflow,True,google-pasta
tensorflow,True,h5py
tensorflow,True,keras-preprocessing
tensorflow,True,opt-einsum
tensorflow,True,protobuf
tensorflow,True,six
tensorflow,True,termcolor
tensorflow,True,typing-extensions
tensorflow,True,wheel
tensorflow,True,wrapt
tensorflow,True,gast
tensorflow,True,tensorboard
tensorflow,True,tensorflow-estimator
tensorflow,True,keras-nightly
tensorflow,True,grpcio
azure-common,True,azure-nspkg
google-cloud-bigquery,True,google-api-core[grpc]
google-cloud-bigquery,True,proto-plus
google-cloud-bigquery,True,google-cloud-core
google-cloud-bigquery,True,google-resumable-media
google-cloud-bigquery,True,packaging
google-cloud-bigquery,True,protobuf
google-cloud-bigquery,True,requests
google-cloud-bigquery,False,google-cloud-bigquery-storage
google-cloud-bigquery,False,grpcio
google-cloud-bigquery,False,pyarrow
google-cloud-bigquery,False,pandas
google-cloud-bigquery,False,tqdm
google-cloud-bigquery,False,opentelemetry-api
google-cloud-bigquery,False,opentelemetry-sdk
google-cloud-bigquery,False,opentelemetry-instrumentation
google-auth-oauthlib,True,google-auth
google-auth-oauthlib,True,requests-oauthlib
google-auth-oauthlib,False,click
tabulate,False,wcwidth
docker,True,websocket-client
docker,True,requests
docker,True,pywin32
docker,False,paramiko
docker,False,pyOpenSSL
docker,False,cryptography
